,datetime_utc,rh,temp,pm25,ws,wd,wind_u,wind_v,hour,hour_sin,hour_cos,pm_lag1,pm_lag2,pm_lag3,pm_lag6,pm25_bin
6,2025-01-02 06:00:00+00:00,58.84,4.361666666666666,0.49428333333333335,9.3,270.0,9.3,1.7083822848105578e-15,6,1.0,6.123233995736766e-17,0.39954999999999996,0.46481666666666666,0.44248333333333334,0.8415666666666667,0
7,2025-01-02 07:00:00+00:00,55.43,4.113333333333333,0.6946833333333333,5.6,260.0,5.514923416868364,0.9724297949348097,7,0.9659258262890683,-0.25881904510252063,0.49428333333333335,0.39954999999999996,0.46481666666666666,0.47886666666666666,0
8,2025-01-02 08:00:00+00:00,52.586666666666666,3.908333333333333,0.8866166666666667,5.7,280.0,5.613404192169586,-0.9897946127015008,8,0.8660254037844387,-0.49999999999999983,0.6946833333333333,0.49428333333333335,0.39954999999999996,0.45883333333333337,0
9,2025-01-02 09:00:00+00:00,50.208333333333336,3.9433333333333334,0.9521666666666667,7.2,290.0,6.76578686965854,-2.462545031944817,9,0.7071067811865476,-0.7071067811865475,0.8866166666666667,0.6946833333333333,0.49428333333333335,0.44248333333333334,0
10,2025-01-02 10:00:00+00:00,49.291666666666664,4.011666666666667,0.9694333333333333,4.45,260.0,4.382394500904326,0.77273439061784,10,0.49999999999999994,-0.8660254037844387,0.9521666666666667,0.8866166666666667,0.6946833333333333,0.46481666666666666,0
11,2025-01-02 11:00:00+00:00,48.32333333333334,4.22,1.0914166666666667,5.8,270.0,5.8,1.0654427152581972e-15,11,0.258819045102521,-0.9659258262890682,0.9694333333333333,0.9521666666666667,0.8866166666666667,0.39954999999999996,0
12,2025-01-02 12:00:00+00:00,52.559999999999995,4.013333333333333,1.3223666666666667,6.2,280.0,6.105808068675691,-1.0766187015349657,12,1.2246467991473532e-16,-1.0,1.0914166666666667,0.9694333333333333,0.9521666666666667,0.49428333333333335,0
13,2025-01-02 13:00:00+00:00,50.675,4.59,1.2642166666666665,4.55,280.0,4.480875276205547,-0.7900992083845313,13,-0.2588190451025208,-0.9659258262890683,1.3223666666666667,1.0914166666666667,0.9694333333333333,0.6946833333333333,0
14,2025-01-02 14:00:00+00:00,41.580000000000005,6.123333333333333,1.4243,9.3,280.0,9.158712103013537,-1.614928052302449,14,-0.4999999999999998,-0.8660254037844388,1.2642166666666665,1.3223666666666667,1.0914166666666667,0.8866166666666667,0
15,2025-01-02 15:00:00+00:00,36.655,6.760000000000001,1.1005166666666668,10.8,280.0,10.635923732531849,-1.8754003188028439,15,-0.7071067811865471,-0.7071067811865479,1.4243,1.2642166666666665,1.3223666666666667,0.9521666666666667,0
