,datetime_utc,rh,temp,wd,ws,pm25,wind_u,wind_v,hour,hour_sin,hour_cos,pm_lag1,pm_lag2,pm_lag3,pm_lag6,pm25_bin
6,2025-01-02 06:00:00+00:00,62.02333333333333,3.33,261.6983333333333,2.6485,0.20796666666666666,2.6207479297871736,0.3824036329799205,6,1.0,6.123233995736766e-17,0.16566666666666666,0.16846666666666668,0.19826666666666667,0.38958333333333334,0
7,2025-01-02 07:00:00+00:00,58.76833333333333,3.02,270.975,2.8786666666666667,0.2951666666666667,2.878249878989831,-0.04898379193980091,7,0.9659258262890683,-0.25881904510252063,0.20796666666666666,0.16566666666666666,0.16846666666666668,0.2142,0
8,2025-01-02 08:00:00+00:00,55.42166666666667,2.8983333333333334,273.275,2.903833333333333,0.3092666666666667,2.899090904888568,-0.16589138907779316,8,0.8660254037844387,-0.49999999999999983,0.2951666666666667,0.20796666666666666,0.16566666666666666,0.19253333333333333,0
9,2025-01-02 09:00:00+00:00,53.24,2.8449999999999998,273.4266666666666,2.866,0.3128,2.860875928374837,-0.17130359729268552,9,0.7071067811865476,-0.7071067811865475,0.3092666666666667,0.2951666666666667,0.20796666666666666,0.19826666666666667,0
10,2025-01-02 10:00:00+00:00,52.56666666666667,2.85,266.5466666666667,2.758666666666667,0.34619999999999995,2.753657453750557,0.16616980827387795,10,0.49999999999999994,-0.8660254037844387,0.3128,0.3092666666666667,0.2951666666666667,0.16846666666666668,0
11,2025-01-02 11:00:00+00:00,51.885,2.9733333333333336,275.00333333333333,2.8435,0.4014333333333333,2.832665201219047,-0.2479921527037814,11,0.258819045102521,-0.9659258262890682,0.34619999999999995,0.3128,0.3092666666666667,0.16566666666666666,0
12,2025-01-02 12:00:00+00:00,54.39,3.271666666666667,268.5416666666667,2.8898333333333337,0.47473333333333334,2.888897307802245,0.07354617201042682,12,1.2246467991473532e-16,-1.0,0.4014333333333333,0.34619999999999995,0.3128,0.20796666666666666,0
13,2025-01-02 13:00:00+00:00,47.330000000000005,5.471666666666667,271.6116666666667,3.053,0.48264999999999997,3.0517922602640475,-0.08586617606751108,13,-0.2588190451025208,-0.9659258262890683,0.47473333333333334,0.4014333333333333,0.34619999999999995,0.2951666666666667,0
14,2025-01-02 14:00:00+00:00,37.891666666666666,7.444999999999999,269.14666666666665,3.5436666666666667,0.45013333333333333,3.543273653594064,0.05277556433256811,14,-0.4999999999999998,-0.8660254037844388,0.48264999999999997,0.47473333333333334,0.4014333333333333,0.3092666666666667,0
15,2025-01-02 15:00:00+00:00,31.708333333333332,9.129999999999999,268.5133333333333,3.3165,0.39826666666666666,3.3153836314762652,0.08604432659537636,15,-0.7071067811865471,-0.7071067811865479,0.45013333333333333,0.48264999999999997,0.47473333333333334,0.3128,0
16,2025-01-02 16:00:00+00:00,28.205,10.045,273.775,3.444666666666667,0.45145,3.437192741542786,-0.2267917589552905,16,-0.8660254037844384,-0.5000000000000004,0.39826666666666666,0.45013333333333333,0.48264999999999997,0.34619999999999995,0
17,2025-01-02 17:00:00+00:00,28.228333333333335,10.458333333333334,274.445,3.4095,0.3499833333333333,3.3992448708953797,-0.26424336830174644,17,-0.9659258262890683,-0.25881904510252063,0.45145,0.39826666666666666,0.45013333333333333,0.4014333333333333,0
18,2025-01-02 18:00:00+00:00,32.67333333333333,9.806666666666667,270.88166666666666,3.2133333333333334,0.43648333333333333,3.212952898046804,-0.04944477771972497,18,-1.0,-1.8369701987210297e-16,0.3499833333333333,0.45145,0.39826666666666666,0.47473333333333334,0
19,2025-01-02 19:00:00+00:00,39.055,8.423333333333334,273.775,2.631333333333333,0.58655,2.625624105064713,-0.1732430951415776,19,-0.9659258262890684,0.2588190451025203,0.43648333333333333,0.3499833333333333,0.45145,0.48264999999999997,0
20,2025-01-02 20:00:00+00:00,40.93,7.1066666666666665,273.78499999999997,2.5116666666666663,0.64805,2.506188180563966,-0.1658018336627193,20,-0.8660254037844386,0.5000000000000001,0.58655,0.43648333333333333,0.3499833333333333,0.45013333333333333,0
21,2025-01-02 21:00:00+00:00,41.001666666666665,4.913333333333333,269.93833333333333,2.0581666666666667,0.6156666666666666,2.0581654745845164,0.0022151763070946185,21,-0.7071067811865477,0.7071067811865474,0.64805,0.58655,0.43648333333333333,0.39826666666666666,0
22,2025-01-02 22:00:00+00:00,40.288333333333334,4.385000000000001,269.0866666666667,2.7199999999999998,0.5629333333333334,2.7196544244058605,0.04335679657937921,22,-0.5000000000000004,0.8660254037844384,0.6156666666666666,0.64805,0.58655,0.45145,0
23,2025-01-02 23:00:00+00:00,41.041666666666664,4.065,265.1633333333333,2.6141666666666667,0.6869666666666667,2.6048578942429623,0.2204148631813027,23,-0.25881904510252157,0.9659258262890681,0.5629333333333334,0.6156666666666666,0.64805,0.3499833333333333,0
24,2025-01-03 00:00:00+00:00,41.63666666666667,3.3133333333333335,266.035,2.4796666666666667,0.866,2.4737315248353884,0.17146171821535222,0,0.0,1.0,0.6869666666666667,0.5629333333333334,0.6156666666666666,0.43648333333333333,0
25,2025-01-03 01:00:00+00:00,43.285,2.575,265.585,2.289333333333333,1.0661333333333334,2.2825400412947334,0.17623300200968572,1,0.25881904510252074,0.9659258262890683,0.866,0.6869666666666667,0.5629333333333334,0.58655,0
26,2025-01-03 02:00:00+00:00,48.765,1.8466666666666667,265.61333333333334,2.8478333333333334,1.31515,2.8394908293033905,0.2178222319837626,2,0.49999999999999994,0.8660254037844387,1.0661333333333334,0.866,0.6869666666666667,0.64805,1
27,2025-01-03 03:00:00+00:00,52.748333333333335,1.05,269.6766666666667,2.1856666666666666,1.3028833333333334,2.185631864324304,0.012334156965338825,3,0.7071067811865475,0.7071067811865476,1.31515,1.0661333333333334,0.866,0.6156666666666666,1
28,2025-01-03 04:00:00+00:00,54.24,0.6849999999999999,265.03,2.7888333333333337,1.5027333333333333,2.778347867095576,0.24160813421028798,4,0.8660254037844386,0.5000000000000001,1.3028833333333334,1.31515,1.0661333333333334,0.5629333333333334,1
29,2025-01-03 05:00:00+00:00,53.875,0.42833333333333334,263.77166666666665,2.4290000000000003,1.4435333333333333,2.4146626712256882,0.26352454191066177,5,0.9659258262890683,0.25881904510252074,1.5027333333333333,1.3028833333333334,1.31515,0.6869666666666667,1
30,2025-01-03 06:00:00+00:00,52.56333333333334,0.085,268.40333333333336,2.0233333333333334,1.22505,2.0225477494087323,0.05637711538780873,6,1.0,6.123233995736766e-17,1.4435333333333333,1.5027333333333333,1.3028833333333334,0.866,0
31,2025-01-03 07:00:00+00:00,49.18,0.4483333333333333,269.6633333333333,2.7656666666666667,1.1853833333333335,2.7656189221431555,0.01625080289836271,7,0.9659258262890683,-0.25881904510252063,1.22505,1.4435333333333333,1.5027333333333333,1.0661333333333334,0
32,2025-01-03 08:00:00+00:00,47.35333333333333,0.7866666666666667,263.12333333333333,2.81,1.2168999999999999,2.789785378587837,0.3364484231164129,8,0.8660254037844387,-0.49999999999999983,1.1853833333333335,1.22505,1.4435333333333333,1.31515,0
33,2025-01-03 09:00:00+00:00,46.16166666666666,0.8583333333333333,260.21,3.039333333333333,1.1055,2.995073317141217,0.5168006734320464,9,0.7071067811865476,-0.7071067811865475,1.2168999999999999,1.1853833333333335,1.22505,1.3028833333333334,0
34,2025-01-03 10:00:00+00:00,46.440000000000005,0.6783333333333332,262.5233333333333,2.6203333333333334,0.9763166666666667,2.5980550892749283,0.34096411962319717,10,0.49999999999999994,-0.8660254037844387,1.1055,1.2168999999999999,1.1853833333333335,1.5027333333333333,0
35,2025-01-03 11:00:00+00:00,47.07666666666667,0.53,262.795,2.5771666666666664,1.0206,2.5568167405303024,0.32322775735041115,11,0.258819045102521,-0.9659258262890682,0.9763166666666667,1.1055,1.2168999999999999,1.4435333333333333,0
